iter	Passed	Remaining
0	151	75354
1	153	38220
2	156	25861
3	158	19674
4	161	15952
5	163	13472
6	166	11693
7	168	10361
8	171	9332
9	173	8500
10	175	7818
11	178	7250
12	180	6771
13	183	6362
14	186	6014
15	188	5705
16	191	5433
17	193	5193
18	196	4975
19	199	4793
20	202	4618
21	205	4461
22	208	4317
23	210	4180
24	213	4054
25	215	3925
26	217	3817
27	220	3715
28	222	3619
29	225	3532
30	229	3466
31	231	3390
32	234	3316
33	236	3238
34	239	3179
35	242	3129
36	245	3073
37	248	3019
38	250	2965
39	253	2913
40	256	2872
41	259	2825
42	261	2780
43	264	2739
44	266	2699
45	269	2659
46	272	2624
47	274	2588
48	277	2555
49	280	2524
50	283	2491
51	286	2466
52	289	2438
53	291	2410
54	296	2394
55	298	2368
56	301	2343
57	304	2319
58	306	2294
59	309	2269
60	312	2246
61	314	2224
62	317	2204
63	320	2183
64	322	2161
65	325	2140
66	328	2120
67	330	2100
68	333	2081
69	335	2063
70	338	2045
71	341	2029
72	344	2015
73	347	1999
74	349	1983
75	352	1966
76	355	1950
77	357	1934
78	360	1919
79	362	1904
80	365	1888
81	367	1874
82	370	1860
83	372	1846
84	375	1833
85	378	1821
86	380	1808
87	383	1795
88	386	1782
89	388	1771
90	391	1759
91	394	1747
92	396	1736
93	399	1724
94	401	1713
95	404	1702
96	407	1692
97	410	1682
98	412	1671
99	415	1660
100	417	1650
101	420	1641
102	423	1631
103	425	1620
104	428	1610
105	430	1600
106	433	1590
107	435	1580
108	437	1570
109	440	1560
110	442	1551
111	445	1542
112	447	1533
113	450	1524
114	452	1515
115	454	1506
116	457	1497
117	459	1488
118	462	1480
119	465	1472
120	467	1464
121	470	1456
122	472	1449
123	475	1441
124	478	1436
125	481	1429
126	484	1421
127	486	1414
128	489	1406
129	491	1399
130	494	1392
131	496	1385
132	499	1377
133	501	1370
134	504	1363
135	506	1356
136	509	1350
137	512	1344
138	515	1337
139	517	1330
140	520	1325
141	522	1318
142	525	1311
143	527	1305
144	530	1298
145	532	1291
146	535	1285
147	537	1279
148	540	1273
149	542	1266
150	545	1260
151	547	1254
152	550	1248
153	552	1242
154	555	1236
155	557	1230
156	560	1224
157	562	1218
158	565	1212
159	567	1206
160	570	1201
161	572	1195
162	575	1189
163	578	1184
164	580	1179
165	583	1174
166	586	1168
167	588	1163
168	591	1158
169	594	1153
170	596	1148
171	599	1143
172	602	1138
173	604	1133
174	607	1128
175	610	1123
176	612	1118
177	615	1113
178	617	1107
179	620	1102
180	622	1097
181	625	1092
182	627	1087
183	630	1082
184	632	1077
185	635	1072
186	638	1068
187	640	1063
188	643	1058
189	645	1053
190	648	1048
191	650	1044
192	653	1039
193	655	1034
194	658	1029
195	660	1024
196	663	1020
197	665	1015
198	668	1010
199	670	1005
200	673	1001
201	675	996
202	678	992
203	680	987
204	683	983
205	685	978
206	688	974
207	690	969
208	693	965
209	695	960
210	698	956
211	700	952
212	703	947
213	705	943
214	708	938
215	710	934
216	712	929
217	715	925
218	718	921
219	720	916
220	722	912
221	725	908
222	727	903
223	730	899
224	732	895
225	735	891
226	737	886
227	739	882
228	742	878
229	744	874
230	747	870
231	750	866
232	752	862
233	755	858
234	757	854
235	760	850
236	762	846
237	765	842
238	767	838
239	770	834
240	772	830
241	774	826
242	777	822
243	780	818
244	782	814
245	785	810
246	788	807
247	790	803
248	793	799
249	796	796
250	798	792
251	801	788
252	804	785
253	806	781
254	809	777
255	812	773
256	814	770
257	817	766
258	819	762
259	822	759
260	825	755
261	827	751
262	830	748
263	832	744
264	835	740
265	838	737
266	840	733
267	842	729
268	845	726
269	848	722
270	850	718
271	853	715
272	855	711
273	858	707
274	860	704
275	863	700
276	865	696
277	868	693
278	870	689
279	872	685
280	875	682
281	878	678
282	880	675
283	883	672
284	886	668
285	888	665
286	891	661
287	893	657
288	896	654
289	898	650
290	901	647
291	903	643
292	906	640
293	909	636
294	911	633
295	914	630
296	916	626
297	919	623
298	921	619
299	924	616
300	927	612
301	929	609
302	932	606
303	934	602
304	937	599
305	939	595
306	942	592
307	944	588
308	947	585
309	949	581
310	952	578
311	954	575
312	956	571
313	959	568
314	961	564
315	964	561
316	966	558
317	969	554
318	971	551
319	974	547
320	976	544
321	979	541
322	981	537
323	983	534
324	986	531
325	988	527
326	991	524
327	993	520
328	995	517
329	998	514
330	1000	511
331	1003	507
332	1005	504
333	1008	501
334	1010	497
335	1013	494
336	1015	491
337	1018	488
338	1020	484
339	1023	481
340	1025	478
341	1028	475
342	1030	471
343	1033	468
344	1035	465
345	1038	462
346	1040	458
347	1042	455
348	1045	452
349	1047	449
350	1050	445
351	1052	442
352	1055	439
353	1057	436
354	1059	432
355	1062	429
356	1064	426
357	1067	423
358	1069	420
359	1072	416
360	1074	413
361	1076	410
362	1079	407
363	1081	404
364	1084	400
365	1086	397
366	1089	394
367	1091	391
368	1094	388
369	1097	385
370	1099	382
371	1102	379
372	1104	376
373	1107	373
374	1110	370
375	1112	366
376	1115	363
377	1117	360
378	1120	357
379	1122	354
380	1125	351
381	1128	348
382	1130	345
383	1133	342
384	1136	339
385	1138	336
386	1141	333
387	1143	330
388	1146	327
389	1149	324
390	1151	321
391	1154	317
392	1156	314
393	1159	311
394	1161	308
395	1164	305
396	1166	302
397	1169	299
398	1171	296
399	1174	293
400	1176	290
401	1179	287
402	1181	284
403	1184	281
404	1186	278
405	1189	275
406	1191	272
407	1194	269
408	1196	266
409	1198	263
410	1201	260
411	1203	257
