id,event_type,latitude,longitude,endlatitude,endlongitude,address,end_address,event_cause,requires_road_closure,start_datetime,end_datetime,status,authenticated,modified_datetime,map_file,direction,description,veh_type,veh_no,corridor,priority,cargo_material,reason_breakdown,age_of_truck,created_date,route_path,client_id,created_by_id,last_modified_by_id,assigned_to_police_id,citizen_accident_id,comment,police_station,meta_data,kgid,resolved_at_address,resolved_at_latitude,resolved_at_longitude,closed_by_id,closed_datetime,resolved_by_id,resolved_datetime,gba_identifier,zone,junction,duration_minutes,hour,day_of_week,impact_class,month,is_weekend,is_peak_hour,is_non_corridor,event_cause_freq,corridor_freq,others_vehicle_issue,others_roadwork,others_water_issue,others_fire
FKID000004,unplanned,12.95398,77.5852333,0.0,0.0,"Lalbagh Fort Road, Lalbagh Main Gate Junction, Wilson Garden, Bengaluru, Karnataka. Pin-560027 (India)",,vehicle_breakdown,False,2024-01-30 04:56:32.348000+00:00,,closed,yes,2024-01-30 05:35:17.33908+00,,,[location] ಪೈಪ್ [person] ವಾಹನ ಆಫ್ ಆಗಿರುತ್ತದೆ ಸರ್,private_bus,FKN00GL0002,Non-corridor,Low,,,,2024-01-30 04:58:55.937662+00,,1,FKUSR00003,FKUSR00001,,,,Wilson Garden,,FKKG000002,,,,FKUSR00003,2024-01-30 05:35:17.338283+00:00,,,,,LalbaghMainGateJunc,38.74983805,4,1,Medium,1,0,0,1,1783,882.0,0,0,0,0
FKID000018,unplanned,12.9233517,77.5904883,0.0,0.0,"36th Cross Road, Block 4T, Pattabhirama Nagar, Jayanagar, Bengaluru, Karnataka. Pin-560041 (India)",,tree_fall,False,2024-03-07 19:39:29.764000+00:00,,closed,yes,2024-03-08 00:32:50.465117+00,,,ssmrv junction towards 20th main ಬಳಿ ಮರ ಬಿದ್ದಿರುತ್ತೆ,,,Non-corridor,Low,,,,2024-03-07 19:44:04.840279+00,,1,FKUSR00016,FKUSR00001,,,,Jayanagara,,FKKG000012,,,,FKUSR00016,2024-03-08 00:32:50.464450+00:00,,,,,,293.3450075,19,3,Critical,3,0,1,1,103,882.0,0,0,0,0
FKID000020,unplanned,12.9071221,77.6286395,0.0,0.0,"Hosur Road, Vivekananda Circle, Bommanahalli, Bengaluru, Karnataka. Pin-560068 (India)",,vehicle_breakdown,False,2024-03-07 19:25:04.302000+00:00,,closed,no,2024-03-07 19:52:19.227656+00,,,ಬೊಮ್ಮನಹಳ್ಳಿ ಟವರ್ಡ್ಸ್ ಸಿಟಿ ಟೆಕ್ನಿಕಲ್ ಪ್ರಾಬ್ಲಮ್ ನಿಂದ ವೆಹಿಕಲ್ ಬ್ರೇಕ್ ಡೌನ್ ಆಗಿರುತ್ತದೆ,heavy_vehicle,FKN00GL0007,Hosur Road,High,,,,2024-03-07 19:27:14.960257+00,,1,FKUSR00018,FKUSR00001,,,,Madiwala,,FKKG000014,,,,FKUSR00018,2024-03-07 19:52:19.227138+00:00,,,,,,27.2487523,19,3,Low,3,0,1,0,1783,94.0,0,0,0,0
FKID000025,unplanned,12.9463911,77.597326,12.9465181,77.5973857,"12th Cross Road, Lakksandra Extension, Wilson Garden, Bengaluru, Karnataka. Pin-560030 (India)","12th Cross Road, Lakksandra Extension, Wilson Garden, Bengaluru, Karnataka. Pin-560030 (India)",tree_fall,True,2024-03-07 06:09:19.361000+00:00,,closed,no,2024-03-07 20:12:38.80305+00,,,no,,,Non-corridor,Low,,,,2024-03-07 06:10:16.176379+00,,1,FKUSR00022,FKUSR00001,,,,Wilson Garden,,FKKG000018,,,,FKUSR00022,2024-03-07 20:12:38.802518+00:00,,,,,,843.3240253,6,3,Critical,3,0,0,1,103,882.0,0,0,0,0
FKID000028,unplanned,12.9635109,77.6642122,0.0,0.0,"Suranjan Das Road, Officers Quarters, Airport Area, Bengaluru, Karnataka. Pin-560017 (India)",,pot_holes,False,2024-01-30 08:25:57.212000+00:00,,closed,yes,2024-01-30 08:35:01.9992+00,,,a,,,,Low,,,,2024-01-30 08:28:51.106311+00,,1,FKUSR00020,FKUSR00001,,,,HAL Old Airport,,FKKG000016,,,,FKUSR00020,2024-01-30 08:35:01.998607+00:00,,,,,,9.079776783333333,8,1,Low,1,0,1,0,32,,0,0,0,0
FKID000041,unplanned,12.9936273,77.5844677,12.9934867,77.584375,"Kumar Krupa Road, Make In India Circle, Vasant Nagar, Bengaluru, Karnataka. Pin-560001 (India)","Kumar Krupa Road, Make In India Circle, Vasant Nagar, Bengaluru, Karnataka. Pin-560001 (India)",others,True,2024-03-07 20:20:31.140000+00:00,,closed,yes,2024-03-07 22:06:56.28958+00,,,near cm office [person] towards b02 junction sir,,,Bellary Road 1,High,,,,2024-03-07 20:23:59.6178+00,,1,FKUSR00032,FKUSR00001,,,,High ground,,FKKG000026,,,,FKUSR00032,2024-03-07 22:06:56.289070+00:00,,,,,,106.41915116666668,20,3,High,3,0,1,0,234,194.0,0,0,0,0
FKID000047,unplanned,13.0262806,77.5442344,0.0,0.0,"1st Main Road, Sri Vijayamaruthi Circle, Yeshwanthpur, Bengaluru, Karnataka. Pin-560022 (India)",,others,False,2024-03-07 20:27:15.443000+00:00,,closed,yes,2024-03-07 22:40:47.233521+00,,,mei signal off due to power problem,,,Tumkur Road,High,,,,2024-03-07 20:29:28.84539+00,,1,FKUSR00038,FKUSR00001,,,,Yeshwanthpura,,FKKG000032,,,,FKUSR00038,2024-03-07 22:40:47.232952+00:00,,,,,,133.52983253333335,20,3,High,3,0,1,0,234,206.0,0,0,0,0
FKID000049,unplanned,12.9188682,77.6687736,0.0,0.0,"Sarjapura Main Road, Sri Balaji Layout, Bellandur Gate, Bellandur, Bengaluru, Karnataka. Pin-560102 (India)",,vehicle_breakdown,False,2024-01-30 21:27:52.454000+00:00,,closed,yes,2024-01-30 22:23:24.958236+00,,,bmtc buss off -road due to break down..fire station jn towards [location],bmtc_bus,FKN00GL0017,ORR East 1,High,,,,2024-01-30 21:29:36.526728+00,,1,FKUSR00040,FKUSR00001,,,,Bellandur,,FKKG000034,,,,FKUSR00040,2024-01-30 22:23:24.957711+00:00,,,,,,55.541728516666666,21,1,Medium,1,0,0,0,1783,73.0,0,0,0,0
FKID000053,unplanned,12.9849833,77.5883633,0.0,0.0,"Palace Road, Chalukya Circle, Gandhi Nagar, Bengaluru, Karnataka. Pin-560001 (India)",,vehicle_breakdown,False,2024-01-30 21:47:40.463000+00:00,,closed,yes,2024-01-30 22:57:00.256145+00,,,"lrde ಜಂಕ್ಷನ್ ಯಿಂದ ಬಸವೇಶ್ವರ ಜಂಕ್ಷನ್ ಕಡೆ ಬರುವ ಮದ್ಯದಲ್ಲಿ ಕಾರು ಪಂಚರ್ ಆಗಿದ್ದು,ಟ್ರಾಫಿಕ್ ಸ್ಲೋ ಮುಮೆಂಟ್ ಇರುತ್ತದೆ ಸರ್",private_car,FKN00GL0019,Bellary Road 1,High,,,,2024-01-30 21:51:46.251707+00,,1,FKUSR00044,FKUSR00001,,,,High ground,,FKKG000038,,,,FKUSR00044,2024-01-30 22:57:00.255562+00:00,,,,,,69.32987603333332,21,1,Medium,1,0,0,0,1783,194.0,0,0,0,0
FKID000055,unplanned,12.9842019,77.7336286,0.0,0.0,"Pattandur Agrahara Road, Vertex Tech Park, EPIP Zone, Whitefield, Bengaluru, Karnataka. Pin-560066 (India)",,road_conditions,False,2024-01-30 21:54:56.083000+00:00,,closed,yes,2024-01-30 22:56:12.701767+00,,,,,,Non-corridor,Low,,,,2024-01-30 21:55:49.646644+00,,1,FKUSR00046,FKUSR00001,,,,Whitefield,,FKKG000040,,,,FKUSR00046,2024-01-30 22:56:12.701247+00:00,,,,,,61.27697078333333,21,1,Medium,1,0,0,1,31,882.0,0,0,0,0
