requires_road_closure,hour,day_of_week,month,is_weekend,is_peak_hour,event_cause_freq,corridor_freq,is_non_corridor,event_type_unplanned,event_cause_congestion,event_cause_construction,event_cause_others,event_cause_pot_holes,event_cause_procession,event_cause_protest,event_cause_road_conditions,event_cause_test_demo,event_cause_tree_fall,event_cause_vehicle_breakdown,event_cause_water_logging,priority_Low,corridor_Bannerghata Road,corridor_Bellary Road 1,corridor_Bellary Road 2,corridor_CBD 1,corridor_CBD 2,corridor_Hennur Main Road,corridor_Hosur Road,corridor_IRR(Thanisandra road),corridor_Magadi Road,corridor_Mysore Road,corridor_Non-corridor,corridor_ORR East 1,corridor_ORR East 2,corridor_ORR North 1,corridor_ORR North 2,corridor_ORR West 1,corridor_Old Airport Road,corridor_Old Madras Road,corridor_Tumkur Road,corridor_Unknown,corridor_Varthur Road,corridor_West of Chord Road,zone_Central Zone 2,zone_East Zone 1,zone_East Zone 2,zone_North Zone 1,zone_North Zone 2,zone_South Zone 1,zone_South Zone 2,zone_Unknown,zone_West Zone 1,zone_West Zone 2,original_index,actual,predicted,probability
False,10,5,3,1,1,234,882.0,1,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,141,0,0,0.087028526
False,6,0,1,0,0,1783,882.0,1,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,1603,1,1,0.99227
False,21,3,12,0,0,1783,206.0,0,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,2065,1,1,0.98609716
False,0,0,3,0,0,1783,882.0,1,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,700,1,1,0.9936952
False,23,3,1,0,0,1783,25.0,0,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,2363,1,1,0.99575484
False,21,3,11,0,0,234,882.0,1,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,1327,1,0,0.07062944
False,20,2,4,0,1,51,882.0,1,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1077,1,0,0.037760347
False,6,5,1,1,0,1783,93.0,0,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,2379,1,1,0.99470985
False,4,3,1,0,0,1783,94.0,0,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,2426,1,1,0.9973756
False,4,1,3,0,0,100,64.0,0,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,861,1,0,0.29133594
